,Dis No,Start Year,Start Month,Start Day,End Year,End Month,End Day
33,1993-0503-DJI,1993,1.0,26.0,1993,1.0,26.0
41,1990-0582-ETH,1990,8.0,27.0,1990,9.0,1.0
44,1990-0352-KEN,1990,4.0,14.0,1990,4.0,15.0
125,1993-0519-ETH,1993,8.0,,1993,8.0,
126,1993-0520-ETH,1993,8.0,,1993,8.0,
155,1990-0016-TZA,1990,4.0,3.0,1990,4.0,10.0
158,1990-0018-TZA,1990,5.0,2.0,1990,5.0,2.0
209,1993-0143-SDN,1993,4.0,16.0,1993,4.0,16.0
212,1993-0005-TZA,1993,2.0,12.0,1993,2.0,12.0
213,1993-0157-TZA,1993,5.0,6.0,1993,5.0,6.0
220,1994-0013-TZA,1994,1.0,9.0,1994,1.0,13.0
267,1994-0507-DJI,1994,11.0,19.0,1994,11.0,19.0
274,1994-0194-ETH,1994,8.0,15.0,1994,8.0,18.0
302,1995-0103-ETH,1995,4.0,28.0,1995,5.0,15.0
337,1996-0141-ETH,1996,6.0,8.0,1996,6.0,8.0
338,1996-0470-ETH,1996,8.0,12.0,1996,8.0,25.0
344,1996-0474-KEN,1996,4.0,6.0,1996,4.0,11.0
368,1997-0270-ETH,1997,10.0,26.0,1997,11.0,26.0
369,1997-0328-ETH,1997,4.0,19.0,1997,4.0,22.0
391,1997-0255-KEN,1997,9.0,,1997,9.0,
430,1994-0217-SDN,1994,9.0,13.0,1994,9.0,13.0
432,1994-0573-SOM,1994,11.0,11.0,1994,11.0,11.0
457,1995-0317-SOM,1995,11.0,5.0,1995,11.0,5.0
462,1995-0038-TZA,1995,3.0,8.0,1995,3.0,8.0
463,1995-0109-TZA,1995,5.0,26.0,1995,5.0,26.0
474,1996-0473-SOM,1996,6.0,13.0,1996,6.0,14.0
476,1996-0187-SDN,1996,8.0,13.0,1996,8.0,13.0
477,1996-0466-SDN,1996,10.0,22.0,1996,10.0,26.0
478,1996-0468-SDN,1996,9.0,11.0,1996,9.0,15.0
521,1997-0268-SDN,1997,10.0,,1997,10.0,
527,1997-0106-SOM,1997,5.0,2.0,1997,5.0,7.0
528,1997-0265-SOM,1997,10.0,19.0,1997,11.0,17.0
533,1997-0306-TZA,1997,12.0,20.0,1997,12.0,31.0
540,1997-0049-TZA,1997,4.0,4.0,1997,4.0,4.0
555,1998-0251-SDN,1998,8.0,28.0,1998,9.0,10.0
563,1998-0096-TZA,1998,4.0,8.0,1998,4.0,8.0
564,1998-0112-TZA,1998,4.0,27.0,1998,5.0,4.0
635,1998-0443-KEN,1998,5.0,,1998,5.0,
683,1999-0431-ETH,1999,10.0,30.0,1999,11.0,2.0
684,1999-0351-ETH,1999,8.0,23.0,1999,9.0,9.0
688,1999-0352-ETH,1999,8.0,,1999,8.0,
689,1999-0378-ETH,1999,9.0,20.0,1999,9.0,20.0
690,1999-0419-ETH,1999,10.0,11.0,1999,10.0,11.0
691,1999-0609-ETH,1999,10.0,,1999,10.0,
785,2000-0497-ETH,2000,8.0,10.0,2000,8.0,21.0
796,2000-0399-ETH,2000,6.0,29.0,2000,6.0,29.0
910,2001-0032-KEN,2001,1.0,13.0,2001,1.0,14.0
960,1999-0443-SDN,1999,10.0,9.0,1999,10.0,9.0
961,1999-0264-SDN,1999,8.0,1.0,1999,9.0,10.0
962,1999-0316-SDN,1999,9.0,10.0,1999,9.0,10.0
969,1999-0407-SDN,1999,10.0,,1999,10.0,
1033,2000-0259-SOM,2000,5.0,1.0,2000,5.0,1.0
